exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,WAVES,BTC,3144815.4898,2757.56603311,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,ETH,25472.9485458,448.702144614,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,USDT,24389.0663546,300216.781933,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,RUB,8452.91644897,6676853.46709,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,USD,7912.04782144,96612.1421246,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,WUSD,5879.33756589,70180.8829494,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,RUR,1688.48987471,1378505.73879,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,EUR,1211.98579612,12260.3849542,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,WEUR,1134.10605877,11244.5468147,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,WTRY,315.87555344,16947.5515689,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,DOGE,63.00662415,102113.240018,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
CCCAGG,WAVES,BCH,6.0579756,0.0459543383376,1,JordanManual,cryptocompare,WAVES,2017-12-29 00:02:47.748290
