close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.1319,0.1509,0.1297,0.1481,1507485600,60843.49,8149.38,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1278,0.1318,0.1219,0.1315,1507496400,77781.29,10056.96,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.127,0.1303,0.1221,0.1267,1507507200,60642.25,7670.01,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1253,0.1305,0.1214,0.1263,1507518000,48701.1,6120.29,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1254,0.1291,0.1212,0.1236,1507528800,48013.19,6029.13,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1261,0.1291,0.1214,0.1257,1507539600,50801.02,6338.24,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.114,0.1279,0.111,0.1257,1507550400,77145.49,8936.8,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1124,0.118,0.1083,0.1135,1507561200,61391.27,7047.38,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1074,0.1135,0.0983,0.112,1507572000,54169.8,5828.43,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1054,0.1094,0.08969,0.1091,1507582800,102148.46,10577.11,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1034,0.1093,0.09198,0.105,1507593600,79951.98,8469.04,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1013,0.1097,0.09397,0.1038,1507604400,53738.82,5391.92,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.105,0.1095,0.09106,0.1011,1507615200,67778.84,6976.0,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1036,0.1102,0.09993,0.1053,1507626000,77471.44,8133.86,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1109,0.1117,0.1046,0.1049,1507636800,72720.53,8025.15,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1058,0.111,0.1031,0.111,1507647600,71827.81,7711.64,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.12,0.12,0.09297,0.1057,1507658400,99065.62,10791.27,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1134,0.1199,0.09789,0.1199,1507669200,127934.53,14524.8,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1075,0.118,0.09822,0.1138,1507680000,76891.15,8203.2,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1177,0.1187,0.1012,0.115,1507690800,80708.16,9344.84,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1047,0.1189,0.1017,0.1177,1507701600,93104.77,10206.07,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1142,0.1142,0.1006,0.1035,1507712400,37543.5,3931.16,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.115,0.1153,0.1141,0.1143,1507723200,5002.59,575.6,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1154,0.1154,0.1151,0.1152,1507734000,12613.26,1453.86,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.116,0.1161,0.1151,0.1161,1507744800,89641.19,10402.39,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1139,0.1158,0.101,0.1158,1507755600,98837.04,11239.05,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1087,0.1152,0.1075,0.1139,1507766400,69455.69,7668.07,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1255,0.1265,0.1089,0.1089,1507777200,81910.09,9775.23,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1173,0.1258,0.09407,0.1249,1507788000,115576.57,13311.51,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.118,0.1188,0.1135,0.1178,1507798800,53824.77,6289.32,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1166,0.1185,0.1138,0.1181,1507809600,58640.39,6854.1,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1172,0.1175,0.101,0.1169,1507820400,47779.27,5484.35,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1139,0.126,0.09422,0.1166,1507831200,162378.75,17617.31,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.0948,0.1287,0.0939,0.1146,1507842000,107387.97,12062.13,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1058,0.1409,0.09288,0.09439,1507852800,94040.93,9904.71,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1079,0.1159,0.1022,0.1068,1507863600,87316.59,9293.3,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.115,0.1181,0.1101,0.1132,1507874400,69580.45,8038.66,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1216,0.1295,0.1111,0.1159,1507885200,75046.11,9058.58,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1325,0.1711,0.1143,0.1256,1507896000,127794.24,16891.53,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1102,0.1347,0.1032,0.131,1507906800,114461.89,13227.26,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1145,0.1349,0.1031,0.111,1507917600,107585.56,12335.38,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
0.1314,0.1334,0.111,0.1154,1507928400,110003.76,14356.02,1,JordanManual,CCCAGG,MSP,2017-12-30 17:47:12.925545
