close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.2551,0.2582,0.2551,0.2582,1507485600,11.92,3.05,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2538,0.2543,0.2537,0.2543,1507496400,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2515,0.2519,0.2515,0.2516,1507507200,1222.19,307.87,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2536,0.2536,0.2501,0.2501,1507518000,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2314,0.2503,0.2314,0.2503,1507528800,2649.2,614.58,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.232,0.2325,0.2319,0.2319,1507539600,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.228,0.2314,0.228,0.2314,1507550400,221.55,51.09,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2224,0.2274,0.2224,0.227,1507561200,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.214,0.2217,0.212,0.2217,1507572000,4850.98,1028.41,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2159,0.2174,0.2158,0.2174,1507582800,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.216,0.216,0.215,0.215,1507593600,3.05,0.6588,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2179,0.2179,0.2163,0.2168,1507604400,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2165,0.2174,0.2159,0.2174,1507615200,5.95,1.28,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2174,0.218,0.2172,0.2172,1507626000,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2126,0.2216,0.2125,0.2201,1507636800,37878.36,8049.15,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2115,0.2141,0.2115,0.2128,1507647600,693.0,147.47,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.186,0.2114,0.1853,0.2114,1507658400,191.29,35.45,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.185,0.1859,0.1849,0.1859,1507669200,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.1867,0.1867,0.1857,0.1857,1507680000,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.1871,0.1871,0.1867,0.1867,1507690800,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.1865,0.1871,0.1865,0.1871,1507701600,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2154,0.2154,0.1845,0.1845,1507712400,21194.69,4565.34,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2148,0.2157,0.2148,0.2157,1507723200,0.0,0.0,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
0.2104,0.2154,0.1926,0.215,1507734000,152.8,32.1167,1,JordanManual,CCCAGG,PST,2017-12-30 17:47:29.000419
