close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.9592,1.21,0.9516,1.21,1507485600,1.11,1.06,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.23,1.23,0.9598,0.9598,1507496400,7.39,9.02,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.23,1.23,1.22,1.22,1507507200,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.22,1.23,1.22,1.23,1507518000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9572,1.22,0.9572,1.21,1507528800,1.11,1.07,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9622,0.9624,0.96,0.96,1507539600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.24,1.24,0.9618,0.9618,1507550400,4.71,5.75,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.25,1.25,1.24,1.24,1507561200,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.01,1.29,1.01,1.27,1507572000,85.54,86.66,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9937,1.0,0.9885,1.0,1507582800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.0,1.01,1.0,1.01,1507593600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.0,1.0,0.9958,0.9958,1507604400,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9971,1.27,0.9971,1.01,1507615200,2.06,2.06,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9986,1.0,0.9946,0.9946,1507626000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9973,1.01,0.9973,1.01,1507636800,0.5489,0.5544,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.02,1.02,0.9985,0.9985,1507647600,1.17,1.17,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.02,1.02,1.01,1.01,1507658400,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9908,1.01,0.9908,1.01,1507669200,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9934,0.9934,0.9854,0.9854,1507680000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
0.9897,0.9897,0.9856,0.9856,1507690800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.0,1.0,0.9917,0.9917,1507701600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.19,1.19,0.9967,0.9994,1507712400,1.85,2.2,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.19,1.19,1.19,1.19,1507723200,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.01,1.21,1.01,1.21,1507734000,0.543,0.5484,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.0,1.01,1.0,1.01,1507744800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.0,1.0,0.9995,0.9995,1507755600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.01,1.01,1.01,1.01,1507766400,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.02,1.02,1.01,1.01,1507777200,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.07,1.07,1.02,1.02,1507788000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.08,1.08,1.07,1.07,1507798800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.08,1.08,1.08,1.08,1507809600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.1,1.11,1.1,1.11,1507820400,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.11,1.11,1.11,1.11,1507831200,0.5079,0.5638,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.14,1.14,1.11,1.11,1507842000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.19,1.19,1.13,1.13,1507852800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.15,1.2,1.15,1.2,1507863600,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.18,1.18,1.16,1.16,1507874400,0.528,0.623,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.18,1.2,1.17,1.2,1507885200,0.5338,0.6245,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.2,1.2,1.16,1.16,1507896000,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.19,1.19,1.19,1.19,1507906800,0.0,0.0,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
1.17,1.18,1.15,1.18,1507917600,0.681,0.7832,1,JordanManual,CCCAGG,TKN*,2017-12-30 17:47:55.441702
