close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.1144,0.1144,0.1142,0.1142,1514560680,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1146,0.1146,0.1143,0.1143,1514560860,703.96,80.46,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1149,0.1149,0.1147,0.1147,1514561040,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1149,0.1149,0.1149,0.1149,1514561220,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1152,0.1153,0.1152,0.1152,1514561400,72587.11,8362.04,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1158,0.1158,0.1153,0.1153,1514561580,954.22,110.49,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1159,0.1159,0.1158,0.1158,1514561760,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.116,0.116,0.1159,0.1159,1514561940,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1163,0.1163,0.116,0.116,1514562120,537.54,62.46,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1191,0.1191,0.1163,0.1163,1514562300,5492.38,652.11,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1191,0.1193,0.1191,0.1192,1514562480,1792.09,213.72,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1186,0.119,0.1186,0.119,1514562660,444.43,52.8,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1188,0.1188,0.1187,0.1187,1514562840,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1186,0.1188,0.1186,0.1188,1514563020,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1185,0.1189,0.1185,0.1186,1514563200,27415.9,3248.78,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1186,0.1186,0.1186,0.1186,1514563380,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1187,0.1187,0.1186,0.1186,1514563560,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.119,0.119,0.1187,0.1187,1514563740,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1193,0.1193,0.119,0.119,1514563920,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1196,0.1196,0.1194,0.1194,1514564100,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1191,0.1192,0.1191,0.1192,1514564280,547.01,65.2,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.125,0.125,0.1168,0.1191,1514564460,10020.82,1232.13,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1253,0.1253,0.1252,0.1252,1514564640,18627.85,2332.21,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1257,0.1257,0.1256,0.1256,1514564820,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1262,0.1262,0.1259,0.1259,1514565000,57687.63,7266.93,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1264,0.1264,0.126,0.126,1514565180,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1266,0.1266,0.1265,0.1265,1514565360,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1267,0.127,0.1267,0.1267,1514565540,127.59,16.17,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1264,0.1265,0.1264,0.1265,1514565720,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.126,0.1262,0.126,0.126,1514565900,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1261,0.1262,0.1261,0.1262,1514566080,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1258,0.126,0.1258,0.126,1514566260,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1254,0.1259,0.1254,0.1259,1514566440,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1151,0.1256,0.115,0.1256,1514566620,2210.72,254.23,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1149,0.1151,0.1149,0.1151,1514566800,38778.06,4457.64,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1151,0.1151,0.115,0.115,1514566980,35.0,4.03,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1155,0.1155,0.1152,0.1152,1514567160,27847.69,3212.38,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1153,0.1154,0.1153,0.1154,1514567340,3047.79,351.41,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1151,0.1152,0.1151,0.1152,1514567520,31624.43,3643.13,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1153,0.1153,0.1152,0.1152,1514567700,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1152,0.1154,0.1152,0.1154,1514567880,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1152,0.1152,0.1152,0.1152,1514568060,0.0,0.0,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
0.1292,0.1292,0.1152,0.1152,1514568240,1500.75,193.9,1,JordanManual,CCCAGG,DP,2017-12-30 17:38:38.944980
