close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.8785,0.8835,0.8785,0.8817,1514561040,73384.75,64590.51,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8841,0.8882,0.8775,0.8785,1514561220,43377.82,38090.52,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8845,0.8865,0.8772,0.8861,1514561400,35119.6,30984.79,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8797,0.8839,0.8797,0.8798,1514561580,37108.31,32673.85,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8808,0.8824,0.8793,0.8824,1514561760,32937.06,29015.11,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.881,0.881,0.8783,0.8805,1514561940,24375.87,21440.16,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8864,0.8867,0.8792,0.8813,1514562120,22463.55,19808.15,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8941,0.8941,0.8793,0.888,1514562300,34742.8,30663.03,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.897,0.899,0.8934,0.8945,1514562480,55939.87,50176.43,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8938,0.8959,0.8938,0.8959,1514562660,30012.31,26850.56,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8915,0.8946,0.8861,0.8905,1514562840,23654.78,21136.62,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8829,0.8926,0.8816,0.8926,1514563020,33350.2,29481.38,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.877,0.8865,0.8754,0.8799,1514563200,50778.78,44542.68,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8786,0.8788,0.8777,0.8782,1514563380,36484.09,32034.43,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.876,0.8796,0.8743,0.8788,1514563560,106594.32,93357.26,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8813,0.8813,0.8775,0.8775,1514563740,25898.51,22762.32,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8827,0.8836,0.878,0.8836,1514563920,34404.43,30307.05,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8848,0.8848,0.877,0.8836,1514564100,53664.05,47408.51,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8846,0.8856,0.8843,0.8846,1514564280,18775.8,16608.62,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.886,0.886,0.8827,0.8827,1514564460,13841.35,12255.51,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8882,0.8882,0.8871,0.8871,1514564640,15751.05,13983.71,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8905,0.8927,0.8901,0.8901,1514564820,11056.15,9846.0,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8939,0.8939,0.8915,0.8915,1514565000,7101.11,6341.29,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8915,0.8925,0.8895,0.8918,1514565180,12159.24,10838.49,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.9002,0.9002,0.8949,0.8949,1514565360,15055.85,13505.82,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.9024,0.904,0.9011,0.9011,1514565540,7479.01,6749.32,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8927,0.9034,0.8925,0.9034,1514565720,42686.81,38418.73,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8927,0.8975,0.8899,0.8899,1514565900,11675.13,10426.41,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8974,0.8979,0.8937,0.8938,1514566080,15367.05,13780.35,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8936,0.8966,0.8925,0.8966,1514566260,15711.23,14041.09,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8902,0.8939,0.8902,0.8938,1514566440,4399.98,3924.01,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8926,0.8926,0.8922,0.8922,1514566620,6064.0,5411.29,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8978,0.9025,0.8942,0.8942,1514566800,7928.2,7121.98,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8976,0.898,0.8966,0.898,1514566980,2146.54,1926.24,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8996,0.8999,0.8973,0.8973,1514567160,7109.33,6393.61,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8986,0.8994,0.8986,0.8994,1514567340,4119.96,3704.23,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8972,0.9009,0.8971,0.8986,1514567520,9081.62,8150.81,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.9009,0.9009,0.8974,0.8977,1514567700,2066.14,1861.31,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8964,0.9016,0.8964,0.9016,1514567880,6958.43,6254.12,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8953,0.9016,0.8953,0.8963,1514568060,15063.33,13540.72,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.9003,0.9003,0.8941,0.8955,1514568240,14846.43,13358.31,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8944,0.8963,0.891,0.8936,1514568420,27369.26,24434.27,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8943,0.8943,0.8926,0.8934,1514568600,1976.95,1767.25,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.9013,0.9013,0.8937,0.8937,1514568780,20563.96,18388.23,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8978,0.9015,0.8978,0.9015,1514568960,3169.24,2850.4,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.898,0.899,0.8924,0.8976,1514569140,6776.3,6055.32,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8925,0.8984,0.8925,0.8984,1514569320,8899.69,7946.53,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
0.8864,0.8924,0.8864,0.8924,1514569500,18349.88,16289.87,1,JordanManual,CCCAGG,EMC2,2017-12-30 17:43:29.928255
