close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
22.58,22.58,22.55,22.55,1514561040,17.97,405.65,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.6,22.6,22.59,22.59,1514561220,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.65,22.66,22.65,22.65,1514561400,2.37,53.68,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.76,22.76,22.67,22.67,1514561580,5.08,115.62,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.79,22.79,22.76,22.76,1514561760,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.8,22.8,22.8,22.8,1514561940,249.09,5679.25,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.87,22.87,22.8,22.8,1514562120,2.14,48.79,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.87,22.87,22.86,22.87,1514562300,203.43,4652.44,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.88,22.91,22.88,22.9,1514562480,2.27,51.94,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
22.8,22.85,22.8,22.85,1514562660,22.6449,517.35,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.62,27.62,22.82,22.82,1514562840,20.6132,472.72,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.59,27.62,27.59,27.62,1514563020,24.84,686.08,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.55,27.58,27.55,27.58,1514563200,1.3465,37.11,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.57,27.59,27.57,27.59,1514563380,3.0,82.74,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.61,27.61,27.58,27.58,1514563560,0.2754,7.6,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.67,27.67,27.61,27.61,1514563740,1.5204,42.04,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.73,27.73,27.67,27.67,1514563920,2.84,78.75,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.82,27.82,27.76,27.76,1514564100,9.5278,265.01,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.81,27.81,27.8,27.81,1514564280,41.04,1141.22,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.75,27.8,27.75,27.8,1514564460,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.81,27.81,27.78,27.78,1514564640,21.15,587.78,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.91,27.91,27.87,27.87,1514564820,5.4839,152.88,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
28.01,28.01,27.94,27.94,1514565000,1.79,50.14,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
28.06,28.06,27.98,27.98,1514565180,1.4236,39.85,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
28.09,28.09,28.08,28.08,1514565360,0.5987,16.81,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
28.13,28.19,28.12,28.12,1514565540,0.7374,20.79,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
28.06,28.09,28.06,28.08,1514565720,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.96,28.02,27.96,27.97,1514565900,38.99,1092.13,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.99,28.0,27.99,28.0,1514566080,4.74,132.72,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.93,27.96,27.93,27.96,1514566260,10.87,303.87,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.82,27.94,27.82,27.94,1514566440,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.89,27.89,27.88,27.88,1514566620,9.17,255.75,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.86,27.88,27.85,27.88,1514566800,0.0,0.0,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.89,27.89,27.86,27.86,1514566980,1.0,27.86,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.98,27.98,27.92,27.92,1514567160,32.35,903.41,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.94,27.97,27.94,27.97,1514567340,14.98,418.69,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
27.91,27.93,27.9,27.93,1514567520,27.4,764.46,1,JordanManual,CCCAGG,GBX,2017-12-30 17:42:24.414549
