close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
2.28,2.3,2.28,2.3,1514560860,5129.1,11695.41,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.29,2.29,2.28,2.28,1514561040,138.98,318.26,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.29,2.32,2.29,2.29,1514561220,3532.91,8127.98,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.33,2.33,2.3,2.3,1514561400,2961.79,6872.53,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.32,2.33,2.32,2.33,1514561580,23.65,54.87,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.32,2.32,2.32,2.32,1514561760,1538.05,3568.28,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.35,2.35,2.32,2.32,1514561940,957.0,2248.95,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.33,2.35,2.33,2.35,1514562120,768.37,1792.2,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.33,2.33,2.33,2.33,1514562300,592.11,1379.61,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.37,2.37,2.34,2.34,1514562480,11311.26,26761.49,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.33,2.37,2.33,2.37,1514562660,7549.09,17843.08,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.35,2.35,2.33,2.33,1514562840,141.63,332.02,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.35,2.36,2.35,2.36,1514563020,1591.16,3739.23,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.36,2.36,2.35,2.35,1514563200,7269.31,17154.04,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.34,2.37,2.34,2.37,1514563380,5552.34,13102.16,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.35,2.35,2.34,2.34,1514563560,2866.03,6735.17,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.37,2.37,2.35,2.35,1514563740,421.67,993.48,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.36,2.37,2.35,2.36,1514563920,795.77,1873.38,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.38,2.38,2.37,2.38,1514564100,865.29,2058.61,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.39,2.39,2.37,2.38,1514564280,11834.09,28201.85,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.4,2.41,2.38,2.39,1514564460,12846.75,30940.13,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.38,2.41,2.38,2.4,1514564640,3562.93,8535.42,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.39,2.39,2.38,2.39,1514564820,519.51,1241.55,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.42,2.43,2.39,2.39,1514565000,2052.68,4967.49,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.4,2.43,2.39,2.42,1514565180,912.89,2198.12,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.38,2.44,2.38,2.4,1514565360,39210.29,93710.63,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.44,2.45,2.38,2.38,1514565540,4185.78,10236.0,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.44,2.44,2.41,2.41,1514565720,4820.33,11753.95,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.44,2.44,2.43,2.43,1514565900,8919.87,21764.48,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.41,2.44,2.41,2.44,1514566080,1125.26,2713.35,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
2.4,2.43,2.4,2.4,1514566260,664.12,1596.71,1,JordanManual,CCCAGG,KNC,2017-12-30 17:40:31.523448
