close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
5.29,5.29,5.26,5.26,1514561040,100.4,531.12,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.29,5.29,5.29,5.29,1514561220,390.82,2067.44,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.3,5.31,5.3,5.3,1514561400,773.7,4100.62,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.33,5.33,5.3,5.3,1514561580,983.43,5223.49,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.33,5.33,5.32,5.33,1514561760,42.64,226.98,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.33,5.33,5.33,5.33,1514561940,412.49,2198.57,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.34,5.34,5.33,5.33,1514562120,108.34,578.53,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.44,5.44,5.34,5.34,1514562300,1272.75,6804.24,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.44,5.45,5.44,5.45,1514562480,107.0,583.15,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.42,5.44,5.42,5.44,1514562660,408.7,2216.38,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.43,5.43,5.34,5.42,1514562840,114.67,622.66,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.42,5.43,5.42,5.43,1514563020,231.0151,1252.12,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.41,5.42,5.41,5.42,1514563200,542.58,2940.72,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.42,5.43,5.42,5.42,1514563380,653.4,3546.78,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.43,5.43,5.42,5.42,1514563560,0.0,0.0,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.44,5.44,5.43,5.43,1514563740,1117.72,6069.22,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.45,5.45,5.35,5.35,1514563920,112.34,612.18,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.47,5.47,5.38,5.46,1514564100,478.91,2618.86,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.46,5.46,5.38,5.38,1514564280,55.58,301.51,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.45,5.46,5.45,5.46,1514564460,33.11,180.6,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.46,5.46,5.46,5.46,1514564640,396.62,2165.55,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.48,5.48,5.47,5.47,1514564820,663.48,3629.75,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.51,5.51,5.48,5.48,1514565000,2745.15,15078.08,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.52,5.52,5.51,5.51,1514565180,448.28,2470.02,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.53,5.53,5.53,5.53,1514565360,283.12,1565.66,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.54,5.55,5.54,5.54,1514565540,176.0,975.18,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.53,5.53,5.53,5.53,1514565720,353.0,1952.09,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.5,5.51,5.5,5.51,1514565900,1.5,8.27,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.51,5.51,5.51,5.51,1514566080,17.93,98.79,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.49,5.5,5.49,5.5,1514566260,135.93,746.41,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
5.47,5.49,5.47,5.49,1514566440,1909.49,10477.01,1,JordanManual,CCCAGG,SWT,2017-12-30 17:44:45.605566
